Date,Day,Time Slot,Course Code,Course Title
10-Apr-2025,Thursday,15:30 - 16:30,MG1001,Fundamentals of Management
10-Apr-2025,Thursday,17:00 - 18:00,SS2006,Macro Economics
10-Apr-2025,Thursday,18:30 - 19:30,AF5003,Financial Reporting and Analysis
10-Apr-2025,Thursday,09:00 - 10:00,CV2008,Quantity Surveying and Estimation
10-Apr-2025,Thursday,12:00 - 13:00,BA2006,Fundamentals of Business Analytics
10-Apr-2025,Thursday,14:00 - 15:00,MG4007,Managing Human Resources
10-Apr-2025,Thursday,15:30 - 16:30,SS3001,Business Communication–II
10-Apr-2025,Thursday,18:30 - 19:30,BA5002,Data Driven Decision Making and Optimization
10-Apr-2025,Thursday,18:30 - 19:30,MG5011,Advanced Research Methods
11-Apr-2025,Friday,09:00 - 10:00,MG3033,Principles of Leadership
11-Apr-2025,Friday,10:30 - 11:30,SS4001,American History
11-Apr-2025,Friday,14:00 - 15:00,SS4002,Foreign Policy of Pakistan
11-Apr-2025,Friday,15:30 - 16:30,CS3001,Computer Networks
11-Apr-2025,Friday,17:00 - 18:00,CS4031,Compiler Construction
11-Apr-2025,Friday,18:30 - 19:30,SS2040,Mass Communication
11-Apr-2025,Friday,09:00 - 10:00,AI4007,Applied Artificial Intelligence
11-Apr-2025,Friday,10:30 - 11:30,SS1007,Islamic Studies/Ethics
11-Apr-2025,Friday,14:00 - 15:00,CS1003,Computer Programming
11-Apr-2025,Friday,15:30 - 16:30,MT2004,Business Math – II
11-Apr-2025,Friday,17:00 - 18:00,MG4008,Business Ethics
11-Apr-2025,Friday,18:30 - 19:30,MG3010,Methods in Business Research
11-Apr-2025,Friday,09:00 - 10:00,SS2038,Critical Thinking
11-Apr-2025,Friday,10:30 - 11:30,CS4001,Professional Practices in IT
11-Apr-2025,Friday,14:00 - 15:00,CV3001,Advanced Fluid Mechanics
11-Apr-2025,Friday,15:30 - 16:30,MT2007,Numerical Analysis
11-Apr-2025,Friday,17:00 - 18:00,EE2011,Probability and Random Processes
11-Apr-2025,Friday,18:30 - 19:30,SS2039,International Relations
11-Apr-2025,Friday,09:00 - 10:00,IO4041,Introduction to the Internet of Things
11-Apr-2025,Friday,10:30 - 11:30,BA3002,Business Data and Text Mining
11-Apr-2025,Friday,14:00 - 15:00,MG3008,Engineering Economics
11-Apr-2025,Friday,15:30 - 16:30,MG1002,Marketing Management
11-Apr-2025,Friday,17:00 - 18:00,CS4048,Data Science
11-Apr-2025,Friday,18:30 - 19:30,AF4009,Finance for Managers
11-Apr-2025,Friday,09:00 - 10:00,CS1004,Object Oriented Programming
11-Apr-2025,Friday,10:30 - 11:30,CV4011,Irrigation and Drainage Engineering
11-Apr-2025,Friday,14:00 - 15:00,MG5047,Decision Science for Business
11-Apr-2025,Friday,15:30 - 16:30,AF5001,Applied Corporate Finance
11-Apr-2025,Friday,17:00 - 18:00,SS1013,Ideology and Constitution of Pakistan
11-Apr-2025,Friday,18:30 - 19:30,MG5007,New Trend in HRM
11-Apr-2025,Friday,09:00 - 10:00,CV3007,Mechanics of Solids-II
11-Apr-2025,Friday,10:30 - 11:30,MG3035,International Business
11-Apr-2025,Friday,14:00 - 15:00,CS1002,Programming Fundamentals
11-Apr-2025,Friday,15:30 - 16:30,SS2031,French Language
11-Apr-2025,Friday,18:30 - 19:30,BA5007,Generative AI in Business
11-Apr-2025,Friday,09:00 - 10:00,AF1001,Fundamentals of Accounting
11-Apr-2025,Friday,10:30 - 11:30,SS2037,Organizational Behavior
11-Apr-2025,Friday,14:00 - 15:00,CS3005,Theory of Automata
11-Apr-2025,Friday,15:30 - 16:30,MG1004,Business Calculus II
11-Apr-2025,Friday,09:00 - 10:00,CE4001,Principles of Software Engineering
11-Apr-2025,Friday,10:30 - 11:30,SS2015,German Language
11-Apr-2025,Friday,14:00 - 15:00,MG3013,Brand Management
11-Apr-2025,Friday,09:00 - 10:00,CS2010,Programming Fundamentals
11-Apr-2025,Friday,10:30 - 11:30,SS2003,Psychology
11-Apr-2025,Friday,10:30 - 11:30,SS2036,Modern Politics and Government
12-Apr-2025,Saturday,09:00 - 10:00,EE3006,Embedded Systems
12-Apr-2025,Saturday,10:30 - 11:30,CS4055,Digital Image Processing
12-Apr-2025,Saturday,12:00 - 13:00,CS4045,Deep Learning for Perception
12-Apr-2025,Saturday,14:00 - 15:00,MG4033,Digital Marketing
12-Apr-2025,Saturday,15:30 - 16:30,AF1002,Financial Accounting
12-Apr-2025,Saturday,17:00 - 18:00,AI4009,Generative AI
12-Apr-2025,Saturday,18:30 - 19:30,AF3002,Financial Statement Analysis
12-Apr-2025,Saturday,09:00 - 10:00,BA4004,Business Analytics
12-Apr-2025,Saturday,10:30 - 11:30,MT2005,Probability and Statistics
12-Apr-2025,Saturday,12:00 - 13:00,EE1005,Digital Logic Design
12-Apr-2025,Saturday,14:00 - 15:00,DS2003,Advanced Statistics
12-Apr-2025,Saturday,15:30 - 16:30,CS4061,Ethical Hacking Concepts and Practices
12-Apr-2025,Saturday,17:00 - 18:00,AF2002,Corporate Accounting – II
12-Apr-2025,Saturday,18:30 - 19:30,CS3002,Information Security
12-Apr-2025,Saturday,09:00 - 10:00,SE3003,Web Engineering
12-Apr-2025,Saturday,10:30 - 11:30,CV4005,Steel Structures
12-Apr-2025,Saturday,12:00 - 13:00,AI2002,Artificial Intelligence
12-Apr-2025,Saturday,14:00 - 15:00,CS4064,Advance Database Concepts
12-Apr-2025,Saturday,15:30 - 16:30,SS2010,Communication Skills
12-Apr-2025,Saturday,17:00 - 18:00,SS1002,Islamic Studies/Ethics
12-Apr-2025,Saturday,18:30 - 19:30,MG2010,Business Communication
12-Apr-2025,Saturday,09:00 - 10:00,MT2006,Probability and Statistics
12-Apr-2025,Saturday,10:30 - 11:30,MG3001,Legal and Ethical Issues in Business Analytics
12-Apr-2025,Saturday,12:00 - 13:00,MG5033,Training and Development
12-Apr-2025,Saturday,14:00 - 15:00,SE2004,Software Design and Architecture
12-Apr-2025,Saturday,15:30 - 16:30,SS1008,Communication and Presentation Skills
12-Apr-2025,Saturday,17:00 - 18:00,SS2019,Psychology
12-Apr-2025,Saturday,18:30 - 19:30,MG1008,Occupational Health and Safety
