,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
95,Formal Methods,SE2003,BSE-6C,,3.0,BS,SE,SE,Supporting Elective,False,"[{'room': 'C-7', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

96,Artificial Intelligence Lab,AL2002,BCS-6H1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-3', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

97,Artificial Intelligence Lab,AL2002,BCS-6H2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-3', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

98,Object Oriented Programming Lab,CL1004,BCS-2E1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-3', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

99,Object Oriented Programming Lab,CL1004,BCS-2E2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-3', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

100,Data Structures Lab,CL2001,BCS-4A1,Ms. Seemab Ayub,1.0,BS,CS,CS,Core,True,"[{'room': 'Lab-4', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

101,Data Structures Lab,CL2001,BCS-4A2,Ms. Seemab Ayub,1.0,BS,CS,CS,Core,True,"[{'room': 'Lab-4', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

102,Data Structures Lab,CL2001,BSE-4B1,,1.0,BS,SE,CS,Core,True,"[{'room': 'Lab-6', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

103,Data Structures Lab,CL2001,BSE-4B2,,1.0,BS,SE,CS,Core,True,"[{'room': 'Lab-6', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

104,Object Oriented Programming Lab,CL1004,BSE-2A1,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-8', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

105,Object Oriented Programming Lab,CL1004,BSE-2A2,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-8', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

106,Database Systems Lab,CL2005,BDS-4B1,,1.0,BS,DS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

107,Database Systems Lab,CL2005,BDS-4B2,,1.0,BS,DS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

108,Operating Systems Lab,CL2006,BCS-4H1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

109,Operating Systems Lab,CL2006,BCS-4H2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '11:30', 'end_time': '14:20'}]"

110,Database Systems Lab,CL2005,BDS-4A1,,1.0,BS,DS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

111,Database Systems Lab,CL2005,BDS-4A2,,1.0,BS,DS,CS,Core,False,"[{'room': 'Lab-13', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

112,Web Engineering Lab,SL3003,BSE-6B1,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-14', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

113,Web Engineering Lab,SL3003,BSE-6B2,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-14', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

114,Object Oriented Programming Lab,CL1004,BCS-2C1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-14', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

115,Object Oriented Programming Lab,CL1004,BCS-2C2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-14', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

116,Web Engineering Lab,SL3003,BSE-6C1,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-15', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

117,Web Engineering Lab,SL3003,BSE-6C2,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-15', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

118,Object Oriented Programming Lab,CL1004,BCS-2F1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-15', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

119,Object Oriented Programming Lab,CL1004,BCS-2F2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Lab-15', 'day': 'Monday', 'start_time': '14:30', 'end_time': '17:20'}]"

120,Object Oriented Programming Lab,CL1004,BSE-2B1,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-16', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

121,Object Oriented Programming Lab,CL1004,BSE-2B2,,1.0,BS,SE,SE,Core,False,"[{'room': 'Lab-16', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

122,Digital Logic Design Lab,EL1005,BCS-2J1,,1.0,BS,CS,CS,Core,False,"[{'room': 'Physics Lab', 'day': 'Monday', 'start_time': '10:00', 'end_time': '12:50'}]"

123,Digital Logic Design Lab,EL1005,BDS-2B1,,1.0,BS,DS,DS,Core,False,"[{'room': 'Physics Lab', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

124,Digital Logic Design Lab,EL1005,BCS-2J2,,1.0,BS,CS,CS,Core,False,"[{'room': 'Micro Lab', 'day': 'Monday', 'start_time': '10:00', 'end_time': '12:50'}]"

125,Digital Logic Design Lab,EL1005,BDS-2B2,,1.0,BS,DS,DS,Core,False,"[{'room': 'Micro Lab', 'day': 'Monday', 'start_time': '13:00', 'end_time': '15:50'}]"

126,Machine Learning for Data Science,DS5004,MDS-2B,Dr. Aamir Wali,3.0,MS,DS,DS,Core,False,"[{'room': 'F-201', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20'}]"

127,Design and Analysis of Algorithms,CS2009,BCS-6B,Mr. Sajid Kazmi,3.0,BS,CS,CS,Core,True,"[{'room': 'F-201', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-201', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

128,Design and Analysis of Algorithms,CS2009,BCS-6A,Mr. Usama Alvi,3.0,BS,CS,CS,Core,True,"[{'room': 'F-201', 'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-201', 'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20'}]"

129,Software Process Management and Metrics,CS5003,MSP-2A,Dr. Zeeshan Ali Rana,3.0,MS,SPM,SE,Core,False,"[{'room': 'F-201', 'day': 'Tuesday', 'start_time': '17:30', 'end_time': '20:20'}]"

130,Advanced Machine Learning,AI5003,MCS-4A,Dr. Kashif Zafar,3.0,MS,CS,CS,Elective,False,"[{'room': 'F-202', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20'}]"

131,Operating Systems,CS2006,BSE-4A,Mr. Raziuddin,3.0,BS,SE,CS,Core,False,"[{'room': 'F-202', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-202', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

132,Operating Systems,CS2006,BSE-4B,Mr. Raziuddin,3.0,BS,SE,CS,Core,False,"[{'room': 'F-202', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-202', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

133,Database Systems,CS2005,BCS-4J,Ms. Mamoona Majid,3.0,BS,CS,CS,Core,False,"[{'room': 'F-203', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-203', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

134,Database Systems,CS2005,BCS-4H,Ms. Mamoona Majid,3.0,BS,CS,CS,Core,False,"[{'room': 'F-203', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-203', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

135,Compiler Construction,CS4031,BCS-6B,Dr. Faisal Aslam,3.0,BS,CS,CS,Core,False,"[{'room': 'F-203', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-203', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

136,Design and Analysis of Algorithms,CS2009,BSE-6C,Dr. Aasim Qureshi,3.0,BS,SE,CS,Core,False,"[{'room': 'F-203', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-203', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

137,Operating Systems,CS2006,BCS-6A,Ms. Rakshan Imtiaz,3.0,BS,CS,CS,Core,True,"[{'room': 'F-204', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-204', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

138,Database Systems,CS2005,BDS-4A,Mr. Muhammad Naveed,3.0,BS,DS,CS,Core,False,"[{'room': 'F-204', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-204', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

139,Object Oriented Programming,CS1004,BCS-2E,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-204', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-204', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

140,Compiler Construction,CS4031,BCS-6E,Mr. Aamir Raheem,3.0,BS,CS,CS,Core,False,"[{'room': 'F-204', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-204', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

141,Object Oriented Programming,CS1004,BCS-2G,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-204', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-204', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

142,Machine Learning for Data Science,DS5004,MDS-2A,Dr. Saira Karim,3.0,MS,DS,DS,Core,False,"[{'room': 'F-205', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20'}]"

143,Computer Organization and Assembly Language,EE2003,BDS-4C,Ms. Sana Fatima,,BS,DS,DS,Core,False,"[{'room': 'F-205', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-205', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

144,Advanced Database Concepts,CS4064,BSE-6A,Mr. Muhammad Naveed,3.0,BS,SE,SE,Elective,False,"[{'room': 'F-205', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-205', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

145,Data Science,CS4064,BCS-8C,Ms. Arooj Khalil,,,,CS,,False,"[{'room': 'F-205', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-205', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

146,Digital Logic Design,EE1005,BSE-2B,Dr. Amjad Hussain,3.0,BS,SE,SE,Core,False,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

147,Software Engineering,CS3006,BCS-6A,Dr. Zeeshan Ali Rana,3.0,BS,CS,CS,Core,False,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

148,Advanced Database Concepts,CS4064,BCS-6A,Mr. Ishaq Raza,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

149,Software for Mobile Devices,CS4039,BSE-8A,Mr. Waqas Ali,3.0,BS,SE,SE,Elective,False,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

150,Advanced Database Concepts,CS4064,BCS-6B,Mr. Ishaq Raza,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

151,Information Security,CS3002,BSE-8A,,3.0,BS,SE,CS,Core,True,"[{'room': 'F-206', 'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-206', 'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20'}]"

152,Object Oriented Programming,CS1004,BCS-2J,Ms. Namra Absar,3.0,BS,CS,CS,Core,False,"[{'room': 'F-207', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-207', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

153,Information Security,CS3002,BDS-8A,Ms. Aqsa Khalid,3.0,BS,DS,HSS,Elective,True,"[{'room': 'F-207', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-207', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

154,Database Systems,CS2005,BCS-4E,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,"[{'room': 'F-207', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-207', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

155,Database Systems,CS2005,BCS-4F,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,"[{'room': 'F-207', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-207', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

156,Fundamental of Software Engineering,CS2004,BDS-4B,Ms. Ansa Liaqat,3.0,BS,DS,DS,Core,False,"[{'room': 'F-208', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-208', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

157,Fundamental of Software Engineering,CS2004,BDS-4A,Ms. Ansa Liaqat,3.0,BS,DS,DS,Core,False,"[{'room': 'F-208', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-208', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

158,Fundamental of Software Engineering,CS2004,BDS-4C,Ms. Ansa Liaqat,3.0,BS,DS,DS,Core,False,"[{'room': 'F-208', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-208', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

159,Database Systems,CS2005,BSE-4A,Ms. Hina Iqbal,3.0,BS,SE,CS,Core,False,"[{'room': 'F-209', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-209', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

160,Database Systems,CS2005,BSE-4B,Ms. Hina Iqbal,3.0,BS,SE,CS,Core,False,"[{'room': 'F-209', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-209', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

161,Generative AI,AI4009,BDS-8A,Dr. Hajra Waheed,3.0,BS,DS,DS,Elective,False,"[{'room': 'F-209', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-209', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

162,Generative AI,AI4009,BDS-8B,Dr. Hajra Waheed,3.0,BS,DS,DS,Elective,False,"[{'room': 'F-209', 'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-209', 'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20'}]"

163,Information Security,CS3002,BCS-8C,,,,,CS,,True,"[{'room': 'F-210', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-210', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

164,Mining Massive Datasets,CS4080,BCS-6A,Dr. Zareen Alamgir,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-210', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-210', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

165,Software Engineering,CS3006,BCS-6B,Dr. Zeeshan Ali Rana,3.0,BS,CS,CS,Core,False,"[{'room': 'F-210', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-210', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

166,Computer Networks,CS3001,BDS-8A,Ms. Umme Ammara,3.0,BS,DS,HSS,Elective,True,"[{'room': 'F-210', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-210', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

167,Object Oriented Programming,CS1004,BCS-2D,Mr. Usama Alvi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-301', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-301', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

168,Computer Organization and Assembly Language,EE2003,BCS-4A,Ms. Samin Iftikhar,3.0,BS,CS,CS,Core,True,"[{'room': 'F-301', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-301', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

169,Advanced Database Concepts,CS4064,BSE-8A,Mr. Muhammad Naveed,3.0,BS,SE,SE,Elective,False,"[{'room': 'F-301', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-301', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

170,Information Security,CS3002,BCS-8A,Ms. Aqsa Khalid,3.0,BS,CS,CS,Core,True,"[{'room': 'F-303', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-303', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

171,Computer Organization and Assembly Language,EE2003,BCS-4B,Ms. Samin Iftikhar,3.0,BS,CS,CS,Core,True,"[{'room': 'F-303', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-303', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

172,Introduction to Internet of Things,IO3031,BCS-8A,,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-303', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-303', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

173,Information Security,CS3002,BCS-8B,Ms. Aqsa Khalid,3.0,BS,CS,CS,Core,True,"[{'room': 'F-303', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-303', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

174,Artificial Intelligence,AI2002,BCS-6J,Ms. Abeeda Akram,3.0,BS,CS,CS,Core,False,"[{'room': 'F-304', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-304', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

175,Artificial Intelligence,AI2002,BCS-6K,Ms. Abeeda Akram,3.0,BS,CS,CS,Core,False,"[{'room': 'F-304', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-304', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

176,Parallel and Distributed Computing,CS3009,BCS-6D,Dr. Zeeshan Ali Khan,3.0,BS,CS,CS,Core,False,"[{'room': 'F-304', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-304', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

177,Artificial Intelligence,AI2002,BDS-6B,Mr. Saiful Islam,3.0,BS,DS,DS,Core,False,"[{'room': 'F-304', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-304', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

178,Theory of Automata,CS3005,BCS-6B,Dr. Tahir Ejaz,3.0,BS,CS,CS,Core,True,"[{'room': 'F-305', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-305', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

179,Compiler Construction,CS4031,BCS-6F,Mr. Hamad ul Qudous,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-306', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

180,Software Engineering,CS3006,BCS-6G,Ms. Kiran Khurshid,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-306', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

181,Software Engineering,CS3006,BCS-6H,Ms. Kiran Khurshid,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-306', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

182,Parallel and Distributed Computing,CS3009,BCS-6G,Ms. Saba Tariq,3.0,BS,CS,CS,Core,False,"[{'room': 'F-306', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-307', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

183,Software Engineering,CS3006,BCS-6C,Ms. Momna Zaneb,3.0,BS,CS,CS,Core,False,"[{'room': 'F-307', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-307', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

184,Artificial Intelligence,AI2002,BCS-6C,Mr. Mubashir,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-308', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

185,Operating Systems,CS2006,BCS-4E,Mr. Mubasher Hussain,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-308', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

186,Operating Systems,CS2006,BCS-4H,Ms. Rubab Anam,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-308', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

187,Operating Systems,CS2006,BCS-4C,Mr. Mubasher Hussain,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-308', 'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50'}]"

188,Operating Systems,CS2006,BCS-4D,Mr. Mubasher Hussain,3.0,BS,CS,CS,Core,False,"[{'room': 'F-308', 'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-308', 'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20'}]"

189,Computer Networks,CS3001,BSE-6C,Mr. Umar Farooq,3.0,BS,SE,CS,Core,False,"[{'room': 'F-309', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-309', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

190,Computer Networks,CS3001,BSE-6A,Mr. Nauman Moazzam Hayat,3.0,BS,SE,CS,Core,False,"[{'room': 'F-309', 'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-309', 'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20'}]"

191,Computer Networks,CS3001,BSE-6B,Mr. Nauman Moazzam Hayat,3.0,BS,SE,CS,Core,False,"[{'room': 'F-309', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-309', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

192,Database Systems,CS2005,BCS-6A,Ms. Seemab Ayub,3.0,BS,CS,CS,Core,True,"[{'room': 'F-309', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-309', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

193,Parallel and Distributed Computing,CS3009,BCS-6C,Dr. Zeeshan Ali Khan,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-310', 'day': 'Thursday', 'start_time': '08:30', 'end_time': '09:50'}]"

194,Digital Logic Design,EE1005,BCS-2H,Ms. Maimoona Akram,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-310', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

195,Parallel and Distributed Computing,CS3009,BCS-6J,Ms. Saba Tariq,3.0,BS,CS,CS,Core,False,"[{'room': 'F-310', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-301', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

196,Software Engineering,CS3006,BCS-6B,Dr. Zeeshan Ali Rana,3.0,BS,CS,CS,Core,False,"[{'room': 'F-311', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-311', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

197,Web Engineering,SE3003,BSE-6C,Mr. Ayaz Gilani,3.0,BS,SE,SE,Core,False,"[{'room': 'F-311', 'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-311', 'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50'}]"

198,Advanced Statistics,DS2003,BDS-4B,Dr. Ahmad Raza,3.0,BS,DS,DS,Core,False,"[{'room': 'F-311', 'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-311', 'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20'}]"

199,Research Methodology,CS5001,MDS-2A,Dr. Asma Ahmad,3.0,MS,DS,DS,Core,False,"[{'room': 'F-312', 'day': 'Tuesday', 'start_time': '08:30', 'end_time': '11:20'}]"

