,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
19,Object Oriented Programming,CS1004,BCS-2F,Mr. Uzair Naqvi,3.0,BS,CS,CS,Core,False,"[{'room': 'F-204', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-204', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

20,Digital Logic Design,EE1005,BCS-2A,Dr. Sobia Tariq,3.0,BS,CS,CS,Core,False,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-205', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

21,Data Structures,CS2001,BCS-4B,Ms. Marwa Khan,3.0,BS,CS,CS,Core,True,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-307', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

22,Computer Organization and Assembly Language,EE2003,BDS-4A,Ms. Sana Fatima,3.0,BS,DS,DS,Core,False,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-205', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

23,Computer Organization and Assembly Language,EE2003,BDS-4B,Ms. Sana Fatima,,BS,DS,DS,Core,False,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-205', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

24,Advanced Programming,CS4084,BCS-8A,Ms. Hira Butt,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

25,Advanced Programming,CS4084,BCS-8B,Ms. Hira Butt,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-205', 'day': 'Monday', 'start_time': '16:00', 'end_time': '17:20'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '16:00', 'end_time': '17:20'}]"

26,Digital Logic Design,EE1005,BSE-2A,Dr. Amjad Hussain,3.0,BS,SE,SE,Core,False,"[{'room': 'F-206', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-206', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

27,Data Structures,CS2001,BDS-4A,Dr. Aamir Wali,1.0,BS,DS,DS,Core,True,"[{'room': 'F-206', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-206', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

28,Database Systems,CS2005,BCS-4A,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,"[{'room': 'F-206', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-206', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

29,Compiler Construction,CS4031,BCS-6D,Dr. Aatira Anum,3.0,BS,CS,CS,Core,False,"[{'room': 'F-206', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-206', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

30,Database Systems,CS2005,BDS-4B,Mr. Ishaq Raza,3.0,BS,DS,CS,Core,False,"[{'room': 'F-206', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-206', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

31,Natural Language Processing,DS5007,MDS-2A,Dr. Maryam Bashir,3.0,MS,DS,Specialized,Core,False,"[{'room': 'F-207', 'day': 'Monday', 'start_time': '08:30', 'end_time': '11:20'}]"

32,Professional Practices in IT,CS4091,BCS-8A,,3.0,BS,CS,CS,Core,True,"[{'room': 'F-207', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-207', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

33,Database Systems,CS2005,BCS-4G,Ms. Aleena Ahmad,3.0,BS,CS,CS,Core,False,"[{'room': 'F-207', 'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50'}, {'room': 'F-207', 'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50'}]"

34,Professional Practices in IT,CS4091,BCS-8B,,3.0,BS,CS,CS,Core,True,"[{'room': 'F-208', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

35,Software Engineering,CS3006,BCS-6D,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,"[{'room': 'F-208', 'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20'}]"

36,Software Engineering,CS3006,BCS-6E,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,"[{'room': 'F-208', 'day': 'Monday', 'start_time': '11:30', 'end_time': '12:50'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '11:30', 'end_time': '12:50'}]"

37,Data Science,CS4064,BCS-8B,Ms. Arooj Khalil,3.0,BS,CS,CS,Elective,False,"[{'room': 'F-208', 'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20'}, {'room': 'F-208', 'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20'}]"

38,Parallel and Distributed Computing,CS3009,BCS-6F,Dr. Muhammad Irteza,3.0,BS,CS,CS,Core,False,"[{'room': 'F-209', 'day': 'Monday', 'start_time': '08:30', 'end_time': '09:50'}, {'room': 'F-209', 'day': 'Wednesday', 'start_time': '08:30', 'end_time': '09:50'}]"

