id,title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,lectures
23,Applied Physics,NS1001,BCS-1F,Ms. Hufsa Attique,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-5'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-5'}]"
24,Applied Physics,NS1001,BCS-1G,Ms. Arfa Hassan,3,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'D-2'}, {'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'F-210'}]"
25,Applied Physics,NS1001,BCS-1H,Ms. Arfa Hassan,3,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'D-2'}, {'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'F-210'}]"
26,Applied Physics,NS1001,BCS-1J,VF,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'C-14'}, {'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'C-14'}]"
27,Calculus and Analytical Geometry,MT1003,BCS-1A,Dr. Mazhar Hussain,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-301'}, {'day': 'Thursday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'F-301'}]"
28,Calculus and Analytical Geometry,MT1003,BCS-1B,Dr. Mazhar Hussain,3,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'C-6'}, {'day': 'Wednesday', 'start_time': '10:00', 'end_time': '11:20', 'room': 'C-6'}]"
29,Calculus and Analytical Geometry,MT1003,BCS-1C,Dr. Sidra Afzal,3,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-14'}, {'day': 'Wednesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-14'}]"
30,Calculus and Analytical Geometry,MT1003,BCS-1D,Dr. Sidra Afzal,3,BS,CS,HSS,Core,False,"[{'day': 'Monday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-14'}, {'day': 'Wednesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-14'}]"
31,Calculus and Analytical Geometry,MT1003,BCS-1E,Ms. Eesha Meer,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-6'}, {'day': 'Thursday', 'start_time': '13:00', 'end_time': '14:20', 'room': 'C-6'}]"
32,Calculus and Analytical Geometry,MT1003,BCS-1F,Ms. Eesha Meer,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'C-6'}, {'day': 'Thursday', 'start_time': '11:30', 'end_time': '12:50', 'room': 'C-6'}]"
33,Calculus and Analytical Geometry,MT1003,BCS-1G,Dr. Muhammad Rizwan,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'C-6'}, {'day': 'Thursday', 'start_time': '16:00', 'end_time': '17:20', 'room': 'C-6'}]"
34,Calculus and Analytical Geometry,MT1003,BCS-1H,Dr. Muhammad Rizwan,3,BS,CS,HSS,Core,False,"[{'day': 'Tuesday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-6'}, {'day': 'Thursday', 'start_time': '14:30', 'end_time': '15:50', 'room': 'C-6'}]"
